bpm_gt,bpm_pred,failure_reason,level,method,n_tones,n_valid_tones,outlier_frac,quality,quality_pr,quality_snr,quality_stability,rel_err_pct,scenario,segment,selected_variable,valid,variable,variables_used,window_index
8.675,10.516400036245415,,variable,variable_mrc,nan,nan,nan,0.5395449108810279,nan,nan,nan,21.22651338611428,cs_091339,1a,,True,local+remote+phase,"local_amplitudes,remote_amplitudes,phases",10
8.675,10.327425808287462,,variable,adaptive_selection,nan,nan,nan,0.5395449108810279,nan,nan,nan,19.048136118587443,cs_091339,1a,remote_amplitudes,True,local+remote+phase,"local_amplitudes,remote_amplitudes,phases",10
8.675,11.118883344390014,,hierarchical,best_tone__adaptive_selection,nan,nan,nan,0.5328047833775353,nan,nan,nan,28.171565929567873,cs_091339,1a,remote_amplitudes,True,local+remote+phase,"local_amplitudes,remote_amplitudes,phases",10
8.675,10.972249063524679,,hierarchical,liu_weighted_median__variable_weighted_median,nan,nan,nan,1.619779945838247,nan,nan,nan,26.481257216422797,cs_091339,1a,,True,local+remote+phase,"local_amplitudes,remote_amplitudes,phases",10
8.675,10.63103829776089,,hierarchical,snr_mrc__variable_mrc,nan,nan,nan,0.5175095723111282,nan,nan,nan,22.54799190502466,cs_091339,1a,,True,local+remote+phase,"local_amplitudes,remote_amplitudes,phases",10
8.675,9.123340243253972,,hierarchical,hierarchical_quality_fusion,nan,nan,nan,0.5395449108810279,nan,nan,nan,5.16818724212071,cs_091339,1a,,True,local+remote+phase,"local_amplitudes,remote_amplitudes,phases",10
8.675,8.804997647644486,,variable,variable_equal_average,nan,nan,nan,0.4988600687723345,nan,nan,nan,1.4985319613197126,cs_091339,1a,,True,local+remote+phase,"local_amplitudes,remote_amplitudes,phases",11
8.675,8.773601969295237,,variable,variable_quality_weighted,nan,nan,nan,0.4988600687723345,nan,nan,nan,1.136622124440766,cs_091339,1a,,True,local+remote+phase,"local_amplitudes,remote_amplitudes,phases",11
8.675,9.856893175161058,,variable,variable_weighted_median,nan,nan,nan,0.4988600687723345,nan,nan,nan,13.624128820300378,cs_091339,1a,,True,local+remote+phase,"local_amplitudes,remote_amplitudes,phases",11
8.675,10.06138793041921,,variable,variable_mrc,nan,nan,nan,0.4988600687723345,nan,nan,nan,15.981417065351113,cs_091339,1a,,True,local+remote+phase,"local_amplitudes,remote_amplitudes,phases",11
